Lake,Assessment,year,inches,sex,age,pounds
Escanaba,Spring Fyke Net,2011,15.9,2,NA,NA
Escanaba,Spring Fyke Net,2011,15.4,2,NA,NA
Escanaba,Spring Fyke Net,2011,19.4,2,NA,NA
Escanaba,Spring Fyke Net,2011,19.7,2,8,2.38
Escanaba,Spring Fyke Net,2011,14,1,6,0.75
Escanaba,Spring Fyke Net,2011,16.6,2,NA,NA
Escanaba,Spring Fyke Net,2011,19.9,2,NA,NA
Escanaba,Spring Fyke Net,2011,18.6,2,NA,NA
Escanaba,Spring Fyke Net,2011,16.2,2,NA,NA
Escanaba,Spring Fyke Net,2011,13.6,1,4,0.75
Escanaba,Spring Fyke Net,2011,14.3,1,NA,NA
Escanaba,Spring Fyke Net,2011,16,2,NA,NA
Escanaba,Spring Fyke Net,2011,19.8,2,NA,NA
Escanaba,Spring Fyke Net,2011,14.8,1,NA,NA
Escanaba,Spring Fyke Net,2011,18.8,2,10,2
Escanaba,Spring Fyke Net,2011,16.6,2,7,1.63
Escanaba,Spring Fyke Net,2011,19,2,9,2.13
Escanaba,Spring Fyke Net,2011,15.7,2,NA,NA
Escanaba,Spring Fyke Net,2011,19.6,2,9,2.44
Escanaba,Spring Fyke Net,2011,16.3,2,NA,NA
Escanaba,Spring Fyke Net,2011,19.3,2,NA,NA
Escanaba,Spring Fyke Net,2011,11.5,3,NA,NA
Escanaba,Spring Fyke Net,2011,15,1,6,0.94
Escanaba,Spring Fyke Net,2011,25.6,2,11,5.06
Escanaba,Spring Fyke Net,2011,17.7,2,NA,NA
Escanaba,Spring Fyke Net,2011,17.2,2,NA,NA
Escanaba,Spring Fyke Net,2011,17.4,2,NA,NA
Escanaba,Spring Fyke Net,2011,15.2,2,6,1
Escanaba,Spring Fyke Net,2011,18.7,2,NA,NA
Escanaba,Spring Fyke Net,2011,14.7,1,NA,NA
Escanaba,Spring Fyke Net,2011,14.4,1,NA,NA
Escanaba,Spring Fyke Net,2011,17.1,2,NA,NA
Escanaba,Spring Fyke Net,2011,14.3,1,7,0.81
Escanaba,Spring Fyke Net,2011,20.3,2,NA,NA
Escanaba,Spring Fyke Net,2011,15.5,1,NA,NA
